,Unnamed: 0,book,author,URL,publisher,date,pages,Sales_rank,author_info,assumed_author_gender,avg_rating,no_of_reviews
0,0," Solutions and Other Problems, Author", Allie Brosh,/w/solutions-and-other-problems-allie-brosh/1121844298?ean=9781982156947,Gallery Books,09/22/2020,528,96,""">
Allie Brosh is the author of the #1 <i>New York Times </i>bestseller <i>Hyperbole and a Half</i>, which was named the Goodreads Choice Award Winner for Best Humor Book of the Year. Brosh has also given herself many prestigious awards, including “fanciest horse drawing” and “most likely to succeed.” HyperboleandaHalf.blogspot.com",F,0,0
1,1, I Am These Truths, Sunny Hostin,/w/i-am-these-truths-sunny-hostin/1132090682?ean=9780062950826,HarperCollins Publishers,09/22/2020,288,664," summarized"">
Sunny Hostin is the Emmy-winning legal journalist and co-host of <em>The View</em>. She is the author of “Summer on the Bluffs,” the first book of her upcoming three-book series, as well as her memoir, “I Am These Truths,” which will be released in the fall. She has been featured in <em>The New York Times, The Wall Street Journal, Forbes Woman, Essence, Newsweek, The New York Post, Latina, and Ebony.</em> A sought-after public speaker, Sunny has delivered a TEDxTalk called “A Possibility Model” and spoken at and moderated panels for the U.C. Berkeley Graduate School of Journalism, Corporate Counsel Women of Color, and the National Bar Association, and served as a witness at the Federal Judiciary’s Congressional Hearing for the Public’s Right of Access to the Courts. Sunny lives with her husband and two children in New York.<br/><p>Charisse Jones is a national correspondent for <em>USA Today</em>. A former staff writer for the <em>New York Times</em> and the <em>Los Angeles Times</em>, she has been a commentator for National Public Radio and is a contributing writer for <em>Essence</em> magazine.</p>",F,5.0,1
2,2, Three-Ring Circus, Jeff Pearlman,/w/three-ring-circus-jeff-pearlman/1136487819?ean=9781328530004,HMH Books,09/22/2020,448,235,""">
JEFF PEARLMAN is the <i>New York Times</i> best-selling author of nine books, including <i>Football for a Buck, The Bad Guys Won, Boys Will Be Boys, Showtime, Sweetness</i>, and <i>Gunslinger.</i> He is the host of the <i>Two Writers Slinging Yang</i> podcast and blogs regularly at jeffpearlman.com.",M,0,0
3,3, God-Level Knowledge Darts, Desus &amp; Mero,/w/god-level-knowledge-darts-desus-mero/1135592763?ean=9780525512332,Random House Publishing Group,09/22/2020,224,436,""">
<b>Desus Nice</b> and <b>The Kid Mero</b> are multitalented comedians, writers, and podcasters who currently co-host Showtime's first-ever late-night talk show, <i>Desus &amp; Mero</i>, as well as the long-running <i>Bodega Boys</i> podcast.",Unknown,5.0,1
4,4, The Folly and the Glory, Tim Weiner,/w/the-folly-and-the-glory-tim-weiner/1132663775?ean=9781627790857,"Holt, Henry &amp; Company, Inc.",09/22/2020,336,"234,394",""">
<b>Tim Weiner</b> has won the Pulitzer Prize and the National Book Award for his reporting and writing on national security and intelligence. He covered the CIA, the war in Afghanistan, and crises and conflicts in fourteen nations for <i>The New York Times</i>. Weiner has taught history and writing at Princeton and Columbia. <i>The Folly and the Glory</i> is his sixth book.",M,4.0,1
5,5, We're Better Than This, Elijah Cummings,/w/were-better-than-this-elijah-cummings/1136140559?ean=9780062992260,HarperCollins Publishers,09/22/2020,272,"13,167"," summarized"">
Congressman Elijah E. Cummings was born and raised in Baltimore, Maryland and died there on October 17, 2019.  He earned his bachelor’s degree in Political Science from Howard University, serving as Student Government President and graduating Phi Beta Kappa, and then graduated from the University of Maryland School of Law. Congressman Cummings dedicated his life of service to uplifting and empowering the people he represented. He began his career of public service in the Maryland House of Delegates, where he served sixteen years and became the first African American in Maryland history to be named Speaker Pro Tem. First sworn in as a member of the U.S. House of Representatives in 1996, Congressman Cummings proudly represented Maryland's 7th District since 1996. He became Ranking Member of the House Committee on Oversight and Reform in 2011 and was appointed as Chairman of the Committee in 2019.<br/><p>James Dale has collaborated on a number of books on sports, business, medicine, and life lessons. His works include <em>The Power of Nice</em> with agent-negotiator Ron Shapiro; <em>Just Show Up </em>with Hall of Fame baseball player Cal Ripken Jr.; and <em>The Q Factor </em>with Super Bowl–winning coach Brian Billick.</p>",M,4.5,2
6,6, Elway, Jason Cole,/w/elway-jason-cole/1135968145?ean=9780316455770,Hachette Books,09/15/2020,368,"73,152"," summarized"">
<b>Jason Cole</b> has covered or written about pro football since 1992 and has been a selector for the Pro Football Hall of Fame since 2013. He has worked for publications such as <i>Bleacher Report</i>, <i>Yahoo! Sports</i>, <i>The Miami Herald</i>, and the <i>Fort Lauderdale Sun-Sentinel</i>. Cole's five-year investigation of Reggie Bush and the University of Southern California resulted in Bush becoming the only player to ever relinquish his Heisman Trophy and USC losing its 2004 national championship.<br/><br/><br/>Cole has co-authored six books, including <i>Giant</i> with Plaxico Burress, <i>Heart for the Game</i> with Simon Keith, and <i>Ocho Cinco</i> with Chad Johnson. Prior to covering the NFL, Cole covered the NBA, Major League Baseball, and high school sports in the San Francisco Bay Area. Among his breaking news stories was uncovering famed impostor James Hogue at both Princeton University and Palo Alto High School. Cole teaches sports writing at the University of Florida and is the father of two Eagle Scouts. He is a graduate of Stanford University, which he attended at the same time as Elway.",M,0,0
7,7, In Hoffa's Shadow, Jack Goldsmith,/w/in-hoffas-shadow-jack-goldsmith/1130946477?ean=9781250757999,Picador,09/15/2020,384,"286,197",""">
Jack Goldsmith is the Learned Hand Professor of Law at Harvard University. From October 2003 to June 2004 he was assistant attorney general, Office of Legal Counsel. He lives in Newton, Massachusetts.",M,0,0
8,8, The Spymasters, Chris Whipple,/w/the-spymasters-chris-whipple/1136314837?ean=9781982106409,Scribner,09/15/2020,400,"24,811",""">
Chris Whipple is an acclaimed writer, journalist, documentary filmmaker, and speaker. A multiple Peabody and Emmy Award–winning producer at CBS’s <i>60 Minutes</i> and ABC’s <i>Primetime</i>, he is the chief executive officer of CCWHIP Productions. He is a frequent guest on MSNBC and CNN, and his writing has appeared in <i>The</i> <i>New York Times</i> and <i>The</i> <i>Washington Post.</i> The author, most recently, of <i>The Gatekeepers</i>, he was the executive producer and writer of Showtime’s <i>The Spymasters: CIA in the Crosshairs.</i>",M,0,0
9,9," More Than a Woman, Author", Caitlin Moran,/w/more-than-a-woman-caitlin-moran/1133319511?ean=9780062893710,HarperCollins Publishers,09/15/2020,272,"96,974",""">
Caitlin Moran’s debut book, <em>How to Be a Woman</em>, was an instant <em>New York Times </em>bestseller. Her first novel, <em>How to Build a Girl</em>, received widespread acclaim. She lives in London. You can follow Caitlin on Twitter: @caitlinmoran",F,0,0
10,10, Sweat the Technique, Rakim,/w/sweat-the-technique-rakim/1131753575?ean=9780062850249,HarperCollins Publishers,09/15/2020,272,"123,761",""">
Rakim reigns as one of hip-hop’s most transformative artists. Along with his partner Eric B., he recorded 1987’s <em>Paid in Full</em>, the landmark recording that MTV named ""the greatest hip-hop album of all time."" Rakim’s inimitable style lyrics, which has drawn comparisons to jazz icon Thelonious Monk, have been cited as an influence on a wide range of top-selling musicians including Jay Z, Nas, Eminem, Tupac, 50 Cent, and The Notorious B.I.G. Rakim is the recipient of the 2012 ""I am Hip Hop"" Trophy, the 2013 BET Hip Hop Lifetime Achievement Award, as well as multiple Vstrong Hip Hop Honors.",M,0,0
11,11, Wild Thing, Philip Norman,/w/wild-thing-philip-norman/1136155232?ean=9781631495892,Liveright Publishing Corporation,09/15/2020,400,"68,504",""">
Philip Norman is the best-selling biographer of Eric Clapton, Buddy Holly, the Rolling Stones, John Lennon, Elton John, Mick Jagger, and Paul McCartney. A novelist and a playwright, he lives in London.",M,5.0,1
